Name,Address
High Queen Cnx,"19 Wichayanon Road, Chang Moi Subdistrict, Mueang District, Chiang Mai Province, Chiang Mai, Thailand 50300"
Deep Green @ Deejai Garden,"184 1 184/1 Ratchamanka Rd, Mueang Chiang Mai District, Chiang Mai 50200"
Rasta Cafe,"73 10-11 Charoen Prathet Rd, ตำบล ช้างคลาน Mueang Chiang Mai District, Chiang Mai 50100"
Cannabis Cafe,"167/10 Ratchapakhinai Rd, Tambon Si Phum, Mueang Chiang Mai District, Chiang Mai 50200"
Shogun Minimart,"34/4 Rajwithi Road, Mueang Chiang Mai District, Chiang Mai 50200"
Mavoix Coffee,"18 Rachadamnoen Rd Soi 1, Tambon Si Phum, Mueang Chiang Mai District, Chiang Mai 50300"
SPV Cafe,"48 Mueang Chiang Mai District, Chiang Mai 50000"
M Studio Cannabis Dispensary,"12/7 Wua Lai Rd Soi 3, Tambon Hai Ya, Mueang Chiang Mai District, Chiang Mai 50100"
Green Dog,"Unit 1, Lansieow Freeative Art Space, 175, Mueang Chiang Mai District, Chiang Mai 50200"
Bong Chiangmai by tibtee,"Q2M2+WC7, Charoen Prathet Rd, Tambon Chang Moi, Mueang Chiang Mai District, Chiang Mai 50100"
420 Cannabis Cafe Bar & Restaurant,"Mae Sub Village, San Sai Noi, San Sai District, Chiang Mai 50210"
